dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000128,4.226925,0.000197,0.019738,0.986891,49.344535,0.000089
0.020000,0.000771,4.226925,0.000840,0.032149,0.620544,-18.317318,0.000538
0.020000,0.002218,4.226927,0.002287,0.072329,2.009008,69.423180,0.001547
0.020000,0.004628,4.226932,0.004698,0.120531,2.410090,20.054107,0.003229
0.020000,0.008003,4.226947,0.008072,0.168707,2.408808,-0.064087,0.005587
0.020000,0.012339,4.226978,0.012409,0.216848,2.407066,-0.087127,0.008622
0.020000,0.017638,4.227034,0.017708,0.264946,2.404916,-0.107504,0.012337
0.020000,0.023897,4.227125,0.023967,0.312995,2.402428,-0.124371,0.016735
0.020000,0.031116,4.227264,0.031187,0.360989,2.399691,-0.136879,0.021819
0.020000,0.039292,4.227466,0.039366,0.408925,2.396810,-0.144046,0.027594
0.020000,0.048423,4.227747,0.048502,0.456803,2.393913,-0.144863,0.034062
0.020000,0.058509,4.228127,0.058594,0.504626,2.391147,-0.138276,0.041226
0.020000,0.069546,4.228626,0.069642,0.552400,2.388685,-0.123091,0.049091
0.020000,0.081531,4.229266,0.081645,0.600134,2.386723,-0.098134,0.057657
0.020000,0.094463,4.230073,0.094602,0.647844,2.385480,-0.062141,0.066927
0.020000,0.108338,4.231072,0.108513,0.695548,2.385203,-0.013849,0.076902
0.020000,0.123153,4.232294,0.123378,0.743271,2.386163,0.048011,0.087579
0.020000,0.138905,4.233767,0.139199,0.791044,2.388655,0.124595,0.098956
0.020000,0.155591,4.235525,0.155977,0.838904,2.392996,0.217065,0.111028
0.020000,0.173207,4.237603,0.173715,0.886895,2.399521,0.326225,0.123786
0.020000,0.191749,4.240037,0.192416,0.935066,2.408577,0.452818,0.137220
0.020000,0.211214,4.242865,0.212086,0.983477,2.420518,0.597060,0.151314
0.020000,0.231599,4.246127,0.232730,1.032191,2.435695,0.758862,0.166051
0.020000,0.252899,4.249865,0.254355,1.081279,2.454446,0.937527,0.181407
0.020000,0.275111,4.254123,0.276972,1.130821,2.477081,1.131740,0.197354
0.020000,0.298231,4.258945,0.300590,1.180899,2.503872,1.339558,0.213861
0.020000,0.322257,4.264378,0.325222,1.231599,2.535036,1.558213,0.230888
0.020000,0.347183,4.270469,0.350882,1.283014,2.570722,1.784269,0.248392
0.020000,0.373008,4.277267,0.377587,1.335234,2.610993,2.013557,0.266324
0.020000,0.399728,4.284820,0.405354,1.388350,2.655819,2.241306,0.284628
0.020000,0.427340,4.293180,0.434203,1.442451,2.705065,2.462289,0.303246
0.020000,0.455839,4.302394,0.464155,1.497621,2.758486,2.671067,0.322110
0.020000,0.485224,4.312514,0.495234,1.553936,2.815730,2.862189,0.341152
0.020000,0.515491,4.323589,0.527463,1.611462,2.876341,3.030548,0.360297
0.020000,0.546636,4.335667,0.560868,1.670258,2.939774,3.171647,0.379468
0.020000,0.578657,4.348795,0.595476,1.730366,3.005412,3.281918,0.398584
0.020000,0.611549,4.363019,0.631312,1.791818,3.072591,3.358963,0.417563
0.020000,0.645311,4.378381,0.668405,1.854630,3.140626,3.401739,0.436321
0.020000,0.679940,4.394922,0.706781,1.918807,3.208840,3.410675,0.454776
0.020000,0.715432,4.412680,0.746468,1.984339,3.276593,3.387667,0.472845
0.020000,0.751787,4.431687,0.787492,2.051205,3.343313,3.336001,0.490445
0.020000,0.789005,4.451974,0.829879,2.119376,3.408516,3.260179,0.507497
0.020000,0.827086,4.473566,0.873655,2.188812,3.471830,3.165684,0.523924
0.020000,0.866032,4.496484,0.918845,2.259472,3.533004,3.058699,0.539651
0.020000,0.905849,4.520745,0.965471,2.331311,3.591921,2.945821,0.554606
0.020000,0.946545,4.546360,1.013557,2.404283,3.648596,2.833785,0.568719
0.020000,0.988129,4.573334,1.063124,2.478346,3.703180,2.729203,0.581924
0.020000,1.030617,4.601669,1.114193,2.553465,3.755948,2.638383,0.594156
0.020000,1.074027,4.631359,1.166785,2.629611,3.807292,2.567176,0.605352
0.020000,1.118383,4.662394,1.220920,2.706765,3.857709,2.520892,0.615450
0.020000,1.163714,4.694759,1.276619,2.784921,3.907794,2.504248,0.624390
0.020000,1.210054,4.728431,1.333901,2.864086,3.958222,2.521390,0.632110
0.020000,1.257445,4.763382,1.392786,2.944280,4.009740,2.575889,0.638546
0.020000,1.305937,4.799577,1.453297,3.025543,4.063155,2.670773,0.643633
0.020000,1.355585,4.836977,1.515456,3.107930,4.119326,2.808534,0.647303
0.020000,1.406300,4.875412,1.579090,3.181714,3.689195,-21.506534,0.649478
0.020000,1.457804,4.914559,1.643782,3.234609,2.644742,-52.222652,0.650095
0.020000,1.509656,4.953956,1.708903,3.256053,1.072221,-78.626076,0.649132
0.020000,1.561437,4.993158,1.773850,3.247345,-0.435393,-75.380694,0.646625
0.020000,1.612908,5.031862,1.838250,3.219983,-1.368091,-46.634900,0.642639
0.020000,1.663978,5.069891,1.901923,3.183686,-1.814856,-22.338239,0.637251
0.020000,1.714675,5.107167,1.964849,3.146279,-1.870379,-2.776152,0.630529
0.020000,1.765022,5.143617,2.027005,3.107812,-1.923330,-2.647555,0.622538
0.020000,1.815036,5.179176,2.088372,3.068321,-1.974557,-2.561374,0.613340
0.020000,1.864731,5.213781,2.148928,3.027824,-2.024857,-2.514994,0.602997
0.020000,1.914113,5.247376,2.208655,2.986325,-2.074962,-2.505253,0.591570
0.020000,1.963185,5.279909,2.267531,2.943814,-2.125532,-2.528459,0.579121
0.020000,2.011941,5.311333,2.325536,2.900271,-2.177138,-2.580333,0.565713
0.020000,2.060371,5.341606,2.382650,2.855666,-2.230259,-2.656033,0.551411
0.020000,2.108460,5.370689,2.438849,2.809961,-2.285261,-2.750120,0.536283
0.020000,2.156184,5.398551,2.494111,2.763113,-2.342394,-2.856642,0.520398
0.020000,2.203517,5.425164,2.548413,2.715077,-2.401778,-2.969214,0.503829
0.020000,2.250426,5.450505,2.601729,2.665809,-2.463402,-3.081184,0.486652
0.020000,2.296872,5.474560,2.654034,2.615267,-2.527119,-3.185827,0.468944
0.020000,2.342813,5.497317,2.705303,2.563414,-2.592651,-3.276623,0.450786
0.020000,2.388201,5.518773,2.755507,2.510222,-2.659602,-3.347520,0.432259
0.020000,2.432988,5.538930,2.804620,2.455673,-2.727466,-3.393228,0.413447
0.020000,2.477119,5.557796,2.852616,2.399759,-2.795656,-3.409498,0.394434
0.020000,2.520541,5.575387,2.899465,2.342489,-2.863523,-3.393336,0.375301
0.020000,2.563197,5.591724,2.945143,2.283881,-2.930386,-3.343157,0.356131
0.020000,2.605032,5.606834,2.989622,2.223970,-2.995563,-3.258855,0.337004
0.020000,2.645988,5.620750,3.032878,2.162802,-3.058399,-3.141774,0.317997
0.020000,2.686012,5.633510,3.074887,2.100436,-3.118290,-2.994582,0.299183
0.020000,2.725051,5.645156,3.115626,2.036942,-3.174711,-2.821059,0.280630
0.020000,2.763053,5.655737,3.155074,1.972397,-3.227229,-2.625861,0.262404
0.020000,2.799972,5.665302,3.193212,1.906887,-3.275512,-2.414183,0.244563
0.020000,2.835763,5.673904,3.230022,1.840500,-3.319342,-2.191479,0.227162
0.020000,2.870385,5.681599,3.265488,1.773328,-3.358605,-1.963179,0.210247
0.020000,2.903800,5.688445,3.299598,1.705462,-3.393294,-1.734409,0.193861
0.020000,2.935975,5.694498,3.332337,1.636993,-3.423490,-1.509809,0.178042
0.020000,2.966881,5.699817,3.363697,1.568005,-3.449358,-1.293397,0.162822
0.020000,2.996491,5.704460,3.393669,1.498583,-3.471127,-1.088485,0.148225
0.020000,3.024782,5.708483,3.422245,1.428801,-3.489080,-0.897608,0.134276
0.020000,3.051736,5.711942,3.449420,1.358731,-3.503532,-0.722628,0.120990
0.020000,3.077335,5.714891,3.475188,1.288434,-3.514826,-0.564683,0.108383
0.020000,3.101567,5.717381,3.499548,1.217968,-3.523312,-0.424326,0.096464
0.020000,3.124420,5.719463,3.522495,1.147381,-3.529345,-0.301614,0.085241
0.020000,3.145885,5.721184,3.544030,1.076716,-3.533268,-0.196160,0.074719
0.020000,3.165957,5.722587,3.564150,1.006007,-3.535413,-0.107243,0.064900
0.020000,3.184628,5.723715,3.582856,0.935286,-3.536092,-0.033947,0.055785
0.020000,3.201897,5.724607,3.600147,0.864574,-3.535594,0.024865,0.047374
0.020000,3.217759,5.725297,3.616025,0.793890,-3.534186,0.070388,0.039664
0.020000,3.232215,5.725820,3.630490,0.723248,-3.532108,0.103914,0.032654
0.020000,3.245262,5.726205,3.643543,0.652656,-3.529575,0.126643,0.026339
0.020000,3.256902,5.726479,3.655185,0.582121,-3.526777,0.139918,0.020718
0.020000,3.267133,5.726666,3.665418,0.511643,-3.523880,0.144827,0.015785
0.020000,3.275956,5.726786,3.674243,0.441223,-3.521029,0.142571,0.011538
0.020000,3.283373,5.726859,3.681660,0.370856,-3.518345,0.134204,0.007973
0.020000,3.289384,5.726898,3.687671,0.300537,-3.515931,0.120711,0.005088
0.020000,3.293989,5.726916,3.692276,0.230260,-3.513870,0.103034,0.002880
0.020000,3.297189,5.726923,3.695476,0.160015,-3.512228,0.082078,0.001346
0.020000,3.299037,5.726925,3.697324,0.092380,-3.381756,6.523608,0.000461
0.020000,3.299818,5.726925,3.698105,0.039045,-2.666771,35.749250,0.000087
0.020000,3.300000,5.726925,3.698287,0.009114,-1.496502,58.513454,6.283185
0.020000,3.300000,5.726925,3.698287,0.000000,-0.455724,52.038897,6.283185
